"","Start date","State","Duration of 'high' episode (weeks)","Weekly cases per 100K","Weekly hospital admissions per 100K","Percentage of inpatient beds occupied by COVID-19 patients","Weekly deaths per 100K 21 days after start","type","max","check_bound","check_bound2","zeke_time_0","zeke_lt_eq3","zeke_lt_eq6","time_to_zeke"
"96",2022-05-18,"New Hampshire",2,322,12.7232919348303,4.94752497662867,NA,"Start",1.33,FALSE,FALSE,TRUE,TRUE,NA,0
"97",2022-05-18,"New Jersey",3,392,10.6955604417379,4.80582491417999,NA,"Start",0.98,FALSE,FALSE,FALSE,NA,NA,NA
"98",2022-05-18,"Rhode Island",1,542,10.5724111044299,4.12188405784094,NA,"Start",0.49,FALSE,FALSE,TRUE,TRUE,NA,0
"99",2022-05-25,"Pennsylvania",1,232,10.4593122209369,4.9697407152806,NA,"Start",1.33,FALSE,FALSE,TRUE,TRUE,NA,0
"100",2022-06-01,"Colorado",1,279,12.6069331881163,2.8279594529571,NA,"Start",0.91,FALSE,FALSE,FALSE,NA,NA,NA
"101",2022-06-01,"Illinois",1,256,10.6141019510929,5.10786704322413,NA,"Start",0.77,FALSE,FALSE,FALSE,NA,NA,NA
"102",2022-06-01,"West Virginia",1,222,11.3829948101356,4.14475481648992,NA,"Start",0.28,FALSE,FALSE,TRUE,TRUE,NA,0
"103",2021-09-01,"District of Columbia",1,200,15.1611975362346,4.33582097402777,0.56,"End",0.56,TRUE,TRUE,FALSE,FALSE,FALSE,15
"104",2021-09-08,"California",1,187,14.0589406979202,15.9572770176975,1.82,"End",2.31,FALSE,FALSE,TRUE,TRUE,TRUE,0
"105",2021-09-15,"District of Columbia",1,247,16.2947450155792,4.73207026208483,0.63,"End",0.63,TRUE,TRUE,FALSE,FALSE,FALSE,15
"106",2021-09-15,"Illinois",1,223,13.6760138894007,9.24725972816118,2.03,"End",2.31,FALSE,FALSE,TRUE,TRUE,TRUE,0
"107",2021-09-22,"Hawaii",1,224,14.1961985264205,15.5007820093855,2.31,"End",3.85,FALSE,FALSE,TRUE,TRUE,TRUE,0
"108",2021-09-22,"Louisiana",1,220,19.4028816936177,11.8820986858571,3.57,"End",9.31,FALSE,FALSE,TRUE,TRUE,TRUE,0
"109",2021-09-22,"Missouri",1,222,17.3851326646928,11.7116743536869,2.1,"End",4.27,FALSE,FALSE,TRUE,TRUE,TRUE,0
"110",2021-09-22,"Nevada",1,231,23.9273595233488,14.8182116396884,3.92,"End",5.32,FALSE,FALSE,TRUE,TRUE,TRUE,0
"111",2021-09-29,"Alabama",1,331,20.1297727905433,14.4088246754023,6.72,"End",17.99,FALSE,FALSE,TRUE,TRUE,TRUE,0
"112",2021-09-29,"Arkansas",1,224,21.0086539748771,11.8974139041784,2.1,"End",7.28,FALSE,FALSE,TRUE,TRUE,TRUE,0
"113",2021-09-29,"Florida",1,180,22.0134923898174,13.6736382868192,3.92,"End",12.25,FALSE,FALSE,TRUE,TRUE,TRUE,0
"114",2021-09-29,"Maine",1,291,12.9443867485188,9.7866614536626,1.96,"End",1.96,FALSE,FALSE,TRUE,TRUE,TRUE,0
"115",2021-09-29,"Mississippi",1,268,13.0369816833767,12.2465984858162,2.31,"End",10.5,FALSE,FALSE,TRUE,TRUE,TRUE,0
"116",2021-09-29,"Vermont",1,218,12.5002203564486,4.73126432411917,1.47,"End",2.1,FALSE,FALSE,TRUE,TRUE,TRUE,0
"117",2021-10-06,"Nevada",1,187,21.1352931474899,12.57057240784,3.78,"End",3.78,FALSE,FALSE,TRUE,TRUE,TRUE,0
"118",2021-10-06,"Oregon",1,236,12.0917923521547,14.9509026353133,2.38,"End",5.11,FALSE,FALSE,TRUE,TRUE,TRUE,0
"119",2021-10-06,"Texas",1,200,18.7405928448941,15.7508047167461,3.99,"End",7.28,FALSE,FALSE,TRUE,TRUE,TRUE,0
"120",2021-10-06,"Virginia",1,220,14.3986557817984,12.0997933126134,2.87,"End",3.57,FALSE,FALSE,TRUE,TRUE,TRUE,0
"121",2021-10-13,"Georgia",1,160,20.541707719472,13.4557226682948,4.13,"End",7.91,FALSE,FALSE,TRUE,TRUE,TRUE,0
"122",2021-10-13,"Indiana",1,219,18.4931595362539,12.1225880112323,3.08,"End",4.62,FALSE,FALSE,TRUE,TRUE,TRUE,0
"123",2021-10-13,"Kansas",1,200,15.7209281251523,8.97862996196264,3.64,"End",5.39,FALSE,FALSE,TRUE,TRUE,TRUE,0
"124",2021-10-13,"North Carolina",1,219,14.3686873598648,12.8883410728136,2.45,"End",5.18,FALSE,FALSE,TRUE,TRUE,TRUE,0
"125",2021-10-13,"South Carolina",1,217,15.4990158707592,14.0905069194624,3.85,"End",9.45,FALSE,FALSE,TRUE,TRUE,TRUE,0
"126",2021-10-13,"Tennessee",1,207,15.9316485419759,14.1794670121104,2.24,"End",6.65,FALSE,FALSE,TRUE,TRUE,TRUE,0
"127",2021-10-20,"Kentucky",1,249,24.2408072390258,12.8032891988575,6.16,"End",6.93,FALSE,FALSE,TRUE,TRUE,TRUE,0
"128",2021-10-20,"Oklahoma",1,183,22.8457575251373,10.0009627248913,4.27,"End",12.81,FALSE,FALSE,TRUE,TRUE,TRUE,0
"129",2021-10-20,"Washington",1,205,9.19251261967831,10.7767694407641,1.68,"End",3.78,FALSE,FALSE,TRUE,TRUE,TRUE,0
"130",2021-10-27,"Delaware",1,208,13.6583402138506,6.76119908686389,1.96,"End",3.22,FALSE,FALSE,TRUE,TRUE,TRUE,0
"131",2021-10-27,"Kansas",1,204,14.1762954491002,7.95698944723999,3.5,"End",3.5,TRUE,TRUE,TRUE,TRUE,TRUE,0
"132",2021-11-10,"Idaho",1,232,17.0111327791658,17.3940654639526,3.22,"End",12.04,FALSE,FALSE,TRUE,TRUE,TRUE,0
"133",2021-11-24,"Alaska",1,330,11.3458502211074,9.40365888654229,0.42,"End",12.6,FALSE,FALSE,TRUE,TRUE,TRUE,0
"134",2021-12-08,"Montana",1,158,22.6426816420248,9.32384932447236,1.4,"End",10.85,FALSE,FALSE,TRUE,TRUE,TRUE,0
"135",2021-12-08,"Wyoming",1,220,18.3150499603462,12.2278263965541,4.13,"End",11.9,TRUE,TRUE,TRUE,TRUE,TRUE,0
"136",2022-02-02,"District of Columbia",1,281,24.3712708059098,17.841970553075,0.84,"End",3.29,FALSE,FALSE,TRUE,TRUE,TRUE,0
"137",2022-02-02,"Maryland",1,240,19.0549284778553,18.3987744801331,1.61,"End",7.49,FALSE,FALSE,TRUE,TRUE,TRUE,0
"138",2022-02-02,"New Jersey",1,382,23.4626820637703,19.3690777669818,2.94,"End",8.75,FALSE,FALSE,TRUE,TRUE,TRUE,0
"139",2022-02-09,"Connecticut",1,231,17.1935667451176,10.5476108886792,2.1,"End",9.45,FALSE,FALSE,TRUE,TRUE,TRUE,0
"140",2022-02-09,"Massachusetts",1,328,15.9593691870718,7.88873869462616,3.36,"End",7.91,FALSE,FALSE,TRUE,TRUE,TRUE,0
"141",2022-02-09,"Nebraska",1,323,22.0222414299362,18.1867961536707,4.41,"End",8.47,FALSE,FALSE,TRUE,TRUE,TRUE,0
"142",2022-02-09,"New York",1,233,17.883615241446,13.9906181394899,1.47,"End",7.63,FALSE,FALSE,TRUE,TRUE,TRUE,0
"143",2022-02-09,"Ohio",1,221,23.7571754882754,15.0260482419152,4.76,"End",10.64,FALSE,FALSE,TRUE,TRUE,TRUE,0
"144",2022-02-09,"Pennsylvania",1,360,20.3874569803177,14.2563202032246,3.29,"End",9.1,FALSE,FALSE,TRUE,TRUE,TRUE,0
"145",2022-02-09,"Rhode Island",1,461,12.8379277696649,9.78365720489207,0.84,"End",6.02,FALSE,FALSE,TRUE,TRUE,TRUE,0
"146",2022-02-16,"Alabama",1,283,26.6153530817214,15.6309825648291,7.35,"End",7.35,FALSE,FALSE,TRUE,TRUE,TRUE,0
"147",2022-02-16,"Alaska",1,622,12.9862141084964,9.54684019720172,1.4,"End",3.71,FALSE,FALSE,TRUE,TRUE,TRUE,0
"148",2022-02-16,"California",1,273,15.8254826614033,16.1187198929746,2.66,"End",3.5,FALSE,FALSE,TRUE,TRUE,TRUE,0
"149",2022-02-16,"Colorado",1,238,12.2596347531819,9.96109764191175,0.77,"End",5.88,FALSE,FALSE,TRUE,TRUE,TRUE,0
"150",2022-02-16,"Delaware",1,207,16.7391688335161,8.15826488084695,4.2,"End",6.44,FALSE,FALSE,TRUE,TRUE,TRUE,0
"151",2022-02-16,"Florida",1,235,24.5649716262007,10.9953223651114,4.69,"End",6.72,FALSE,FALSE,TRUE,TRUE,TRUE,0
"152",2022-02-16,"Georgia",1,197,18.5449896834665,15.8608582288588,3.85,"End",6.23,FALSE,FALSE,TRUE,TRUE,TRUE,0
"153",2022-02-16,"Hawaii",1,284,14.4080820865163,9.28356623426448,1.4,"End",2.94,FALSE,FALSE,TRUE,TRUE,TRUE,0
"154",2022-02-16,"Illinois",1,207,13.2498715062342,8.58272270226049,1.61,"End",8.54,FALSE,FALSE,TRUE,TRUE,TRUE,0
"155",2022-02-16,"Indiana",1,210,18.7902384043062,12.1789742896294,2.8,"End",10.99,FALSE,FALSE,TRUE,TRUE,TRUE,0
"156",2022-02-16,"Iowa",1,249,15.2769986085887,9.58187999748051,2.87,"End",5.81,FALSE,FALSE,TRUE,TRUE,TRUE,0
"157",2022-02-16,"Kansas",1,266,19.2907458653616,12.3977712266026,1.05,"End",8.19,FALSE,FALSE,TRUE,TRUE,TRUE,0
"158",2022-02-16,"Louisiana",1,252,20.3708746827672,10.1372143088807,3.36,"End",6.16,FALSE,FALSE,TRUE,TRUE,TRUE,0
"159",2022-02-16,"Michigan",1,206,16.3715170849047,12.0560139195167,3.71,"End",8.89,FALSE,FALSE,TRUE,TRUE,TRUE,0
"160",2022-02-16,"Minnesota",1,382,12.3589624287542,12.2032923587732,1.68,"End",5.18,FALSE,FALSE,TRUE,TRUE,TRUE,0
"161",2022-02-16,"Mississippi",1,366,15.9266219534035,15.8252618954967,3.78,"End",13.3,FALSE,FALSE,TRUE,TRUE,TRUE,0
"162",2022-02-16,"Missouri",1,298,21.8332500193892,15.516124154981,4.2,"End",10.15,FALSE,FALSE,TRUE,TRUE,TRUE,0
"163",2022-02-16,"Nevada",1,164,21.395020252221,13.8975772928743,3.99,"End",7.14,FALSE,FALSE,TRUE,TRUE,TRUE,0
"164",2022-02-16,"New Hampshire",1,418,14.0471026563733,6.74675700773299,1.54,"End",5.53,FALSE,FALSE,TRUE,TRUE,TRUE,0
"165",2022-02-16,"North Dakota",1,413,21.5205586946994,10.9650200862105,2.52,"End",6.58,FALSE,FALSE,TRUE,TRUE,TRUE,0
"166",2022-02-16,"Oregon",1,327,15.8141676448769,17.4601949083264,3.5,"End",3.78,FALSE,FALSE,TRUE,TRUE,TRUE,0
"167",2022-02-16,"South Dakota",1,186,23.1727705251402,14.3575052152014,3.36,"End",5.88,FALSE,FALSE,TRUE,TRUE,TRUE,0
"168",2022-02-16,"Texas",1,268,21.5513368950576,15.2043844332722,2.66,"End",5.18,FALSE,FALSE,TRUE,TRUE,TRUE,0
"169",2022-02-16,"Utah",1,281,19.4949528346909,14.2458106731362,1.82,"End",3.08,FALSE,FALSE,TRUE,TRUE,TRUE,0
"170",2022-02-16,"Virginia",1,270,15.5936622014432,12.6429237190645,3.29,"End",10.43,FALSE,FALSE,TRUE,TRUE,TRUE,0
"171",2022-02-16,"Washington",1,273,12.5018171627625,13.7242634307919,2.52,"End",5.04,FALSE,FALSE,TRUE,TRUE,TRUE,0
"172",2022-02-16,"Wisconsin",1,221,16.3333753547056,12.0590196424974,3.78,"End",6.09,FALSE,FALSE,TRUE,TRUE,TRUE,0
"173",2022-02-16,"Wyoming",1,321,20.0428848622656,12.5877387879132,1.4,"End",5.04,FALSE,FALSE,TRUE,TRUE,TRUE,0
"174",2022-02-23,"Arizona",1,200,19.000601342242,11.1140642487578,6.16,"End",8.96,FALSE,FALSE,TRUE,TRUE,TRUE,0
"175",2022-02-23,"Arkansas",1,222,21.3068840786214,11.874553661088,6.65,"End",8.96,FALSE,FALSE,TRUE,TRUE,TRUE,0
"176",2022-02-23,"Maine",1,568,9.15034235671159,10.6792909252129,2.31,"End",8.4,FALSE,FALSE,TRUE,TRUE,TRUE,0
"177",2022-02-23,"New Mexico",1,207,12.876586502762,12.1605123807465,4.27,"End",8.82,FALSE,FALSE,TRUE,TRUE,TRUE,0
"178",2022-02-23,"North Carolina",1,251,13.7298671520937,13.0256725715503,1.33,"End",5.53,FALSE,FALSE,TRUE,TRUE,TRUE,0
"179",2022-02-23,"Oklahoma",1,161,21.0009120612711,12.6668209010452,6.65,"End",8.61,FALSE,FALSE,TRUE,TRUE,TRUE,0
"180",2022-02-23,"South Carolina",1,225,13.4208270259331,10.5064693829347,3.08,"End",8.82,FALSE,FALSE,TRUE,TRUE,TRUE,0
"181",2022-02-23,"Tennessee",1,255,16.327011143661,13.4237551962426,9.73,"End",9.73,FALSE,FALSE,TRUE,TRUE,TRUE,0
"182",2022-02-23,"Vermont",1,226,11.0578872383968,6.02929848232523,0.14,"End",3.22,FALSE,FALSE,TRUE,TRUE,TRUE,0
"183",2022-03-02,"Idaho",1,576,6.43513246580287,10.62941732378,1.47,"End",7.7,FALSE,FALSE,TRUE,TRUE,TRUE,0
"184",2022-03-02,"Kentucky",1,252,15.9814740246209,10.7734423785431,5.88,"End",8.96,FALSE,FALSE,TRUE,TRUE,TRUE,0
"185",2022-03-02,"West Virginia",1,270,22.2637986727651,13.4753435473053,3.22,"End",12.32,FALSE,FALSE,TRUE,TRUE,TRUE,0
"186",2022-03-09,"Montana",1,310,10.2921280191022,4.61138228533655,0.84,"End",5.88,FALSE,FALSE,TRUE,TRUE,TRUE,0
"187",2022-05-04,"Maine",1,370,10.786988957099,7.1457055163414,0.63,"End",0.63,FALSE,TRUE,TRUE,TRUE,NA,0
"188",2022-05-18,"Maine",1,320,12.5724216120671,10.0398024020174,NA,"End",2.59,FALSE,FALSE,FALSE,NA,NA,NA
"189",2022-05-18,"Rhode Island",1,542,10.5724111044299,4.12188405784094,NA,"End",0.49,FALSE,FALSE,TRUE,TRUE,NA,0
"190",2022-05-25,"Connecticut",1,284,13.0424282813698,6.24179668708004,NA,"End",1.12,FALSE,FALSE,FALSE,TRUE,NA,1
"191",2022-05-25,"Michigan",1,259,10.1533445407299,5.61990065008641,NA,"End",1.4,FALSE,FALSE,TRUE,TRUE,NA,0
"192",2022-05-25,"New Hampshire",1,257,12.6497468947445,4.86851830342132,NA,"End",1.33,FALSE,FALSE,TRUE,TRUE,NA,0
"193",2022-05-25,"Pennsylvania",1,232,10.4593122209369,4.9697407152806,NA,"End",1.33,FALSE,FALSE,TRUE,TRUE,NA,0
"194",2022-05-25,"Vermont",1,384,10.5771095323796,6.94160862729181,NA,"End",1.19,FALSE,FALSE,TRUE,TRUE,NA,0
